Hours Viewed,release_year,Cluster
75200000,2020.0,0
74300000,2022.0,0
73100000,2017.0,1
72800000,2023.0,0
72800000,2021.0,0
72200000,2019.0,1
71600000,2021.0,0
71100000,2023.0,0
71000000,2023.0,0
69500000,2023.0,0
69200000,2017.0,1
69000000,2021.0,0
68900000,2022.0,0
68500000,2023.0,0
68100000,2021.0,0
67800000,2021.0,0
67500000,2023.0,0
67200000,2017.0,1
67000000,2019.0,1
66500000,2016.0,1
65900000,2022.0,0
65300000,2022.0,0
65200000,2023.0,0
64400000,2022.0,0
63900000,2023.0,0
63500000,2022.0,0
63100000,2023.0,0
62700000,2022.0,0
62000000,2022.0,0
61800000,2023.0,0
61600000,2023.0,0
61500000,2021.0,0
61100000,2014.0,1
61000000,2020.0,0
60800000,2023.0,0
60600000,2023.0,0
60100000,2023.0,0
59900000,2015.0,1
59600000,2023.0,0
59300000,2021.0,0
58500000,2023.0,0
58300000,2022.0,0
58300000,2022.0,0
57500000,2023.0,0
56700000,2022.0,0
56700000,2023.0,0
56600000,2022.0,0
56500000,2023.0,0
56000000,2022.0,0
55500000,2023.0,0
55200000,2023.0,0
55000000,2018.0,1
54400000,2017.0,1
54400000,2022.0,0
53800000,2023.0,0
53700000,2021.0,0
53500000,2023.0,0
53300000,2021.0,0
53300000,2022.0,0
53100000,2023.0,0
53000000,2022.0,0
52800000,2020.0,0
52500000,2023.0,0
52500000,2015.0,1
52400000,2021.0,0
52200000,2023.0,0
52000000,2018.0,1
51800000,2022.0,0
51800000,2023.0,0
51800000,2020.0,0
51700000,2023.0,0
51600000,2023.0,0
51600000,2023.0,0
51300000,2022.0,0
50900000,2015.0,1
50800000,2023.0,0
50600000,2023.0,0
49700000,2023.0,0
49300000,2022.0,0
49200000,2022.0,0
48900000,2022.0,0
48800000,2013.0,1
48600000,2016.0,1
48300000,2020.0,0
48300000,2023.0,0
47900000,2023.0,0
47800000,2022.0,0
47100000,2023.0,0
46900000,2022.0,0
46300000,2023.0,0
46200000,2022.0,0
46100000,2023.0,0
46100000,2022.0,0
46000000,2023.0,0
45900000,2020.0,0
45900000,2022.0,0
45800000,2023.0,0
45700000,2023.0,0
45600000,2023.0,0
45400000,2014.0,1
45300000,2023.0,0
44700000,2021.0,0
44000000,2015.0,1
44000000,2019.0,1
43900000,2020.0,0
43800000,2023.0,0
43800000,2022.0,0
43100000,2022.0,0
42900000,2020.0,0
42900000,2023.0,0
42800000,2022.0,0
42800000,2023.0,0
42700000,2022.0,0
42700000,2018.0,1
42700000,2023.0,0
42600000,2021.0,0
42600000,2022.0,0
42500000,2022.0,0
42500000,2023.0,0
42400000,2016.0,1
41800000,2021.0,0
41800000,2023.0,0
41700000,2023.0,0
41300000,2023.0,0
41200000,2022.0,0
41100000,2022.0,0
41000000,2023.0,0
40600000,2017.0,1
40400000,2021.0,0
40300000,2022.0,0
40300000,2022.0,0
40200000,2017.0,1
40200000,2017.0,1
40200000,2023.0,0
40100000,2019.0,1
39900000,2020.0,0
39700000,2023.0,0
39700000,2023.0,0
39500000,2016.0,1
39500000,2022.0,0
39500000,2023.0,0
39400000,2023.0,0
39300000,2021.0,0
39200000,2022.0,0
39100000,2022.0,0
38900000,2022.0,0
38700000,2022.0,0
38700000,2023.0,0
38600000,2019.0,1
38600000,2018.0,1
38600000,2016.0,1
38300000,2023.0,0
38300000,2014.0,1
38200000,2017.0,1
38100000,2023.0,0
38000000,2023.0,0
37600000,2021.0,0
37300000,2016.0,1
37300000,2018.0,1
37100000,2017.0,1
37100000,2016.0,1
37100000,2023.0,0
36900000,2022.0,0
36900000,2021.0,0
36600000,2020.0,0
36600000,2023.0,0
36600000,2016.0,1
36600000,2022.0,0
36300000,2023.0,0
36200000,2023.0,0
36200000,2022.0,0
36200000,2022.0,0
36100000,2023.0,0
36100000,2017.0,1
36000000,2021.0,0
35800000,2022.0,0
35800000,2019.0,1
35700000,2023.0,0
35500000,2021.0,0
35500000,2022.0,0
35400000,2021.0,0
35300000,2023.0,0
35200000,2023.0,0
35200000,2023.0,0
35000000,2020.0,0
35000000,2022.0,0
34800000,2022.0,0
34600000,2023.0,0
34300000,2023.0,0
34200000,2023.0,0
34000000,2020.0,0
34000000,2017.0,1
33900000,2023.0,0
33800000,2022.0,0
33800000,2022.0,0
33800000,2022.0,0
33700000,2019.0,1
33500000,2022.0,0
33400000,2023.0,0
33400000,2023.0,0
33300000,2017.0,1
33200000,2020.0,0
33200000,2017.0,1
33100000,2020.0,0
33000000,2018.0,1
33000000,2022.0,0
32900000,2021.0,0
32800000,2021.0,0
32700000,2018.0,1
32600000,2015.0,1
32500000,2017.0,1
32400000,2022.0,0
32400000,2023.0,0
32300000,2021.0,0
32100000,2021.0,0
32100000,2022.0,0
32100000,2021.0,0
32100000,2022.0,0
32100000,2022.0,0
32000000,2022.0,0
31900000,2022.0,0
31900000,2015.0,1
31800000,2019.0,1
31700000,2017.0,1
31600000,2021.0,0
31500000,2021.0,0
31500000,2023.0,0
31400000,2020.0,0
31300000,2019.0,1
31300000,2022.0,0
31200000,2023.0,0
31200000,2019.0,1
31100000,2018.0,1
31100000,2022.0,0
30900000,2017.0,1
30900000,2022.0,0
30800000,2023.0,0
30600000,2022.0,0
30600000,2023.0,0
30600000,2019.0,1
30500000,2023.0,0
30400000,2020.0,0
30400000,2018.0,1
30300000,2023.0,0
30300000,2020.0,0
30300000,2023.0,0
30200000,2018.0,1
30100000,2022.0,0
30100000,2023.0,0
30100000,2023.0,0
30100000,2020.0,0
30100000,2022.0,0
30100000,2020.0,0
30000000,2022.0,0
30000000,2020.0,0
30000000,2022.0,0
29900000,2017.0,1
29900000,2021.0,0
29800000,2023.0,0
29700000,2018.0,1
29700000,2022.0,0
29600000,2019.0,1
29600000,2022.0,0
29500000,2022.0,0
29500000,2021.0,0
29500000,2020.0,0
29500000,2015.0,1
29400000,2021.0,0
29400000,2023.0,0
29300000,2023.0,0
29200000,2019.0,1
29200000,2022.0,0
29200000,2021.0,0
29100000,2019.0,1
29000000,2022.0,0
29000000,2022.0,0
28900000,2022.0,0
28800000,2019.0,1
28800000,2022.0,0
28700000,2021.0,0
28600000,2020.0,0
28600000,2018.0,1
28600000,2023.0,0
28600000,2017.0,1
28600000,2021.0,0
28500000,2016.0,1
28400000,2021.0,0
28400000,2018.0,1
28300000,2023.0,0
28300000,2020.0,0
28100000,2021.0,0
28100000,2020.0,0
28100000,2019.0,1
28000000,2022.0,0
28000000,2016.0,1
27900000,2020.0,0
27900000,2020.0,0
27900000,2019.0,1
27900000,2021.0,0
27800000,2020.0,0
27800000,2020.0,0
27800000,2022.0,0
27800000,2020.0,0
27700000,2023.0,0
27700000,2022.0,0
27600000,2021.0,0
27600000,2016.0,1
27600000,2017.0,1
27600000,2016.0,1
27600000,2020.0,0
27500000,2018.0,1
27500000,2021.0,0
27400000,2019.0,1
27400000,2022.0,0
27400000,2017.0,1
27300000,2021.0,0
27300000,2020.0,0
27300000,2023.0,0
27300000,2023.0,0
27300000,2018.0,1
27100000,2017.0,1
27100000,2017.0,1
27100000,2020.0,0
27100000,2022.0,0
27100000,2022.0,0
27100000,2019.0,1
27000000,2020.0,0
27000000,2018.0,1
26800000,2023.0,0
26800000,2022.0,0
26700000,2023.0,0
26600000,2019.0,1
26600000,2018.0,1
26600000,2022.0,0
26600000,2022.0,0
26500000,2019.0,1
26400000,2023.0,0
26400000,2022.0,0
26300000,2018.0,1
26300000,2021.0,0
26200000,2017.0,1
26200000,2020.0,0
26200000,2020.0,0
26100000,2023.0,0
26000000,2016.0,1
26000000,2015.0,1
25900000,2022.0,0
25900000,2022.0,0
25700000,2022.0,0
25700000,2022.0,0
25700000,2018.0,1
25600000,2017.0,1
25500000,2021.0,0
25500000,2019.0,1
25400000,2016.0,1
25400000,2022.0,0
25400000,2023.0,0
25300000,2021.0,0
25300000,2020.0,0
25200000,2021.0,0
25200000,2021.0,0
25200000,2022.0,0
25100000,2020.0,0
24900000,2020.0,0
24800000,2021.0,0
24800000,2022.0,0
24800000,2017.0,1
24700000,2013.0,1
24700000,2022.0,0
24500000,2020.0,0
24500000,2023.0,0
24400000,2022.0,0
24400000,2023.0,0
24400000,2023.0,0
24300000,2020.0,0
24300000,2018.0,1
24300000,2020.0,0
24200000,2023.0,0
24200000,2017.0,1
24200000,2023.0,0
24200000,2021.0,0
24200000,2020.0,0
24100000,2017.0,1
24000000,2022.0,0
24000000,2023.0,0
24000000,2020.0,0
24000000,2022.0,0
24000000,2023.0,0
24000000,2018.0,1
24000000,2022.0,0
24000000,2019.0,1
23900000,2022.0,0
23800000,2022.0,0
23700000,2022.0,0
23700000,2020.0,0
23600000,2023.0,0
23500000,2020.0,0
23500000,2021.0,0
23400000,2019.0,1
23400000,2015.0,1
23300000,2022.0,0
23300000,2022.0,0
23300000,2018.0,1
23300000,2021.0,0
23300000,2019.0,1
23200000,2020.0,0
23200000,2022.0,0
23200000,2022.0,0
23200000,2018.0,1
23100000,2023.0,0
23100000,2023.0,0
23100000,2017.0,1
23100000,2021.0,0
23000000,2018.0,1
23000000,2019.0,1
23000000,2020.0,0
23000000,2019.0,1
22900000,2022.0,0
22900000,2019.0,1
22800000,2022.0,0
22700000,2015.0,1
22700000,2021.0,0
22700000,2020.0,0
22700000,2022.0,0
22700000,2023.0,0
22600000,2021.0,0
22600000,2020.0,0
22400000,2023.0,0
22400000,2020.0,0
22200000,2020.0,0
22100000,2023.0,0
22100000,2019.0,1
22000000,2020.0,0
22000000,2018.0,1
22000000,2021.0,0
21900000,2021.0,0
21900000,2023.0,0
21900000,2023.0,0
21900000,2022.0,0
21800000,2019.0,1
21800000,2017.0,1
21800000,2023.0,0
21800000,2019.0,1
21700000,2023.0,0
21700000,2022.0,0
21700000,2023.0,0
21700000,2023.0,0
21700000,2023.0,0
21600000,2022.0,0
21600000,2023.0,0
21500000,2023.0,0
21500000,2019.0,1
21500000,2021.0,0
21300000,2022.0,0
21300000,2019.0,1
21300000,2022.0,0
21200000,2022.0,0
21100000,2018.0,1
21100000,2022.0,0
21100000,2022.0,0
21000000,2023.0,0
21000000,2022.0,0
21000000,2022.0,0
21000000,2023.0,0
21000000,2020.0,0
20800000,2021.0,0
20800000,2021.0,0
20800000,2019.0,1
20800000,2023.0,0
20700000,2020.0,0
20600000,2018.0,1
20600000,2023.0,0
20500000,2021.0,0
20500000,2017.0,1
20400000,2022.0,0
20400000,2022.0,0
20300000,2020.0,0
20300000,2022.0,0
20200000,2022.0,0
20200000,2019.0,1
20100000,2013.0,1
20100000,2018.0,1
20100000,2023.0,0
20100000,2021.0,0
20100000,2020.0,0
20000000,2013.0,1
20000000,2022.0,0
20000000,2018.0,1
19900000,2023.0,0
19800000,2023.0,0
19800000,2020.0,0
19800000,2023.0,0
19800000,2021.0,0
19800000,2019.0,1
19700000,2023.0,0
19700000,2021.0,0
19700000,2023.0,0
19600000,2016.0,1
19600000,2021.0,0
19600000,2020.0,0
19500000,2021.0,0
19500000,2017.0,1
19500000,2019.0,1
19300000,2018.0,1
19300000,2022.0,0
19300000,2021.0,0
19300000,2023.0,0
19300000,2020.0,0
19100000,2020.0,0
19000000,2021.0,0
19000000,2022.0,0
19000000,2022.0,0
19000000,2016.0,1
18900000,2022.0,0
18900000,2022.0,0
18800000,2018.0,1
18800000,2020.0,0
18800000,2020.0,0
18700000,2022.0,0
18700000,2021.0,0
18700000,2020.0,0
18700000,2020.0,0
18600000,2022.0,0
18600000,2018.0,1
18600000,2023.0,0
18500000,2020.0,0
18400000,2023.0,0
18400000,2021.0,0
18400000,2018.0,1
18300000,2022.0,0
18300000,2018.0,1
18300000,2019.0,1
18200000,2020.0,0
18100000,2018.0,1
18100000,2022.0,0
18100000,2022.0,0
18100000,2021.0,0
18100000,2023.0,0
18100000,2020.0,0
18000000,2021.0,0
18000000,2022.0,0
17800000,2019.0,1
17800000,2022.0,0
17800000,2022.0,0
17800000,2020.0,0
17700000,2021.0,0
17600000,2010.0,1
17600000,2019.0,1
17600000,2023.0,0
17600000,2022.0,0
17600000,2022.0,0
17500000,2022.0,0
17500000,2022.0,0
17500000,2023.0,0
17500000,2021.0,0
17500000,2021.0,0
17500000,2023.0,0
17400000,2023.0,0
17400000,2018.0,1
17400000,2022.0,0
17400000,2023.0,0
17400000,2022.0,0
17400000,2021.0,0
17400000,2022.0,0
17400000,2021.0,0
17300000,2019.0,1
17300000,2023.0,0
17100000,2016.0,1
17100000,2016.0,1
17000000,2017.0,1
16900000,2017.0,1
16900000,2019.0,1
16900000,2023.0,0
16900000,2018.0,1
16800000,2021.0,0
16800000,2014.0,1
16800000,2023.0,0
16800000,2017.0,1
16800000,2023.0,0
16800000,2022.0,0
16800000,2022.0,0
16700000,2020.0,0
16700000,2018.0,1
16600000,2023.0,0
16600000,2023.0,0
16600000,2020.0,0
16600000,2022.0,0
16600000,2022.0,0
16600000,2019.0,1
16500000,2019.0,1
16500000,2016.0,1
16500000,2022.0,0
16500000,2022.0,0
16500000,2022.0,0
16500000,2023.0,0
16500000,2018.0,1
16500000,2019.0,1
16400000,2022.0,0
16400000,2020.0,0
16400000,2019.0,1
16400000,2020.0,0
16300000,2022.0,0
16300000,2022.0,0
16300000,2021.0,0
16200000,2021.0,0
16200000,2019.0,1
16200000,2019.0,1
16200000,2021.0,0
16200000,2021.0,0
16100000,2022.0,0
16100000,2023.0,0
16000000,2022.0,0
16000000,2022.0,0
16000000,2022.0,0
16000000,2016.0,1
16000000,2022.0,0
16000000,2019.0,1
16000000,2021.0,0
15900000,2014.0,1
15900000,2022.0,0
15900000,2022.0,0
15900000,2022.0,0
15900000,2021.0,0
15800000,2020.0,0
15800000,2022.0,0
15700000,2021.0,0
15700000,2019.0,1
15700000,2022.0,0
15700000,2019.0,1
15700000,2018.0,1
15700000,2021.0,0
15700000,2022.0,0
15600000,2017.0,1
15600000,2018.0,1
15500000,2022.0,0
15500000,2022.0,0
15500000,2022.0,0
15500000,2017.0,1
15500000,2020.0,0
15500000,2018.0,1
15500000,2019.0,1
15400000,2021.0,0
15400000,2018.0,1
15400000,2017.0,1
15300000,2018.0,1
15300000,2022.0,0
15300000,2016.0,1
15200000,2021.0,0
15200000,2018.0,1
15200000,2022.0,0
15200000,2023.0,0
15100000,2023.0,0
15100000,2021.0,0
15000000,2022.0,0
15000000,2017.0,1
15000000,2020.0,0
14900000,2021.0,0
14900000,2022.0,0
14900000,2018.0,1
14700000,2021.0,0
14700000,2019.0,1
14700000,2016.0,1
14600000,2019.0,1
14600000,2021.0,0
14600000,2023.0,0
14600000,2022.0,0
14500000,2022.0,0
14500000,2022.0,0
14500000,2022.0,0
14500000,2021.0,0
14500000,2022.0,0
14500000,2021.0,0
14500000,2018.0,1
14400000,2019.0,1
14400000,2021.0,0
14400000,2021.0,0
14400000,2023.0,0
14400000,2020.0,0
14300000,2022.0,0
14200000,2021.0,0
14200000,2018.0,1
14200000,2021.0,0
14200000,2022.0,0
14200000,2019.0,1
14100000,2020.0,0
14100000,2022.0,0
14100000,2019.0,1
14100000,2018.0,1
14100000,2021.0,0
14000000,2017.0,1
14000000,2016.0,1
14000000,2019.0,1
14000000,2019.0,1
14000000,2021.0,0
13900000,2017.0,1
13900000,2017.0,1
13900000,2019.0,1
13900000,2022.0,0
13900000,2022.0,0
13900000,2021.0,0
13800000,2019.0,1
13800000,2022.0,0
13800000,2022.0,0
13800000,2022.0,0
13800000,2022.0,0
13700000,2022.0,0
13700000,2022.0,0
13700000,2022.0,0
13700000,2015.0,1
13700000,2022.0,0
13700000,2019.0,1
13700000,2022.0,0
13600000,2019.0,1
13600000,2014.0,1
13600000,2021.0,0
13600000,2019.0,1
13600000,2022.0,0
13600000,2021.0,0
13600000,2023.0,0
13600000,2019.0,1
13600000,2021.0,0
13600000,2020.0,0
13500000,2020.0,0
13500000,2020.0,0
13500000,2022.0,0
13500000,2014.0,1
13500000,2022.0,0
13500000,2020.0,0
13500000,2022.0,0
13500000,2021.0,0
13500000,2021.0,0
13500000,2020.0,0
13500000,2020.0,0
13500000,2019.0,1
13400000,2022.0,0
13400000,2021.0,0
13400000,2021.0,0
13300000,2022.0,0
13300000,2021.0,0
13300000,2023.0,0
13300000,2019.0,1
13200000,2018.0,1
13200000,2019.0,1
13200000,2021.0,0
13100000,2018.0,1
13100000,2023.0,0
13100000,2016.0,1
13000000,2023.0,0
13000000,2022.0,0
13000000,2017.0,1
13000000,2019.0,1
13000000,2019.0,1
13000000,2021.0,0
12900000,2023.0,0
12900000,2020.0,0
12900000,2023.0,0
12900000,2021.0,0
12900000,2020.0,0
12900000,2022.0,0
12900000,2022.0,0
12800000,2020.0,0
12800000,2023.0,0
12700000,2021.0,0
12700000,2021.0,0
12700000,2020.0,0
12700000,2022.0,0
12600000,2022.0,0
12600000,2017.0,1
12600000,2021.0,0
12600000,2021.0,0
12500000,2018.0,1
12500000,2016.0,1
12500000,2019.0,1
12500000,2019.0,1
12400000,2021.0,0
12400000,2018.0,1
12400000,2022.0,0
12400000,2022.0,0
12400000,2021.0,0
12400000,2018.0,1
12300000,2021.0,0
12300000,2020.0,0
12300000,2023.0,0
12300000,2019.0,1
12200000,2022.0,0
12200000,2018.0,1
12200000,2020.0,0
12200000,2022.0,0
12200000,2019.0,1
12200000,2023.0,0
12200000,2022.0,0
12100000,2021.0,0
12100000,2017.0,1
12100000,2022.0,0
12100000,2020.0,0
12100000,2015.0,1
12100000,2017.0,1
12000000,2020.0,0
12000000,2021.0,0
12000000,2020.0,0
12000000,2021.0,0
12000000,2022.0,0
11900000,2022.0,0
11900000,2022.0,0
11900000,2019.0,1
11900000,2022.0,0
11900000,2022.0,0
11900000,2022.0,0
11900000,2020.0,0
11900000,2023.0,0
11900000,2022.0,0
11900000,2021.0,0
11900000,2023.0,0
11900000,2020.0,0
11900000,2022.0,0
11900000,2018.0,1
11800000,2017.0,1
11800000,2019.0,1
11800000,2023.0,0
11800000,2022.0,0
11800000,2020.0,0
11800000,2020.0,0
11800000,2020.0,0
11700000,2020.0,0
11700000,2021.0,0
11700000,2020.0,0
11700000,2021.0,0
11700000,2023.0,0
11700000,2023.0,0
11700000,2018.0,1
11700000,2023.0,0
11700000,2019.0,1
11700000,2016.0,1
11700000,2019.0,1
11700000,2022.0,0
11600000,2022.0,0
11600000,2018.0,1
11600000,2019.0,1
11600000,2019.0,1
11600000,2017.0,1
11600000,2020.0,0
11600000,2023.0,0
11600000,2018.0,1
11600000,2021.0,0
11500000,2021.0,0
11500000,2021.0,0
11500000,2021.0,0
11500000,2016.0,1
11500000,2022.0,0
11500000,2022.0,0
11500000,2020.0,0
11500000,2022.0,0
11500000,2016.0,1
11500000,2022.0,0
11500000,2023.0,0
11400000,2020.0,0
11400000,2020.0,0
11400000,2018.0,1
11400000,2015.0,1
11400000,2023.0,0
11400000,2023.0,0
11400000,2023.0,0
11400000,2021.0,0
11300000,2010.0,1
11300000,2023.0,0
11300000,2022.0,0
11200000,2022.0,0
11200000,2019.0,1
11200000,2020.0,0
11200000,2021.0,0
11200000,2022.0,0
11200000,2020.0,0
11200000,2017.0,1
11200000,2019.0,1
11100000,2019.0,1
11100000,2022.0,0
11100000,2022.0,0
11100000,2020.0,0
11100000,2021.0,0
11000000,2019.0,1
11000000,2017.0,1
11000000,2016.0,1
11000000,2022.0,0
11000000,2020.0,0
11000000,2018.0,1
11000000,2020.0,0
11000000,2019.0,1
11000000,2020.0,0
11000000,2017.0,1
11000000,2023.0,0
11000000,2023.0,0
11000000,2017.0,1
11000000,2018.0,1
11000000,2023.0,0
11000000,2019.0,1
10900000,2018.0,1
10900000,2017.0,1
10900000,2023.0,0
10900000,2022.0,0
10900000,2018.0,1
10900000,2022.0,0
10800000,2022.0,0
10800000,2021.0,0
10800000,2017.0,1
10800000,2022.0,0
10800000,2022.0,0
10800000,2022.0,0
10800000,2022.0,0
10700000,2020.0,0
10700000,2022.0,0
10700000,2021.0,0
10700000,2017.0,1
10700000,2020.0,0
10700000,2021.0,0
10700000,2023.0,0
10700000,2022.0,0
10700000,2021.0,0
10700000,2019.0,1
10700000,2017.0,1
10700000,2018.0,1
10600000,2023.0,0
10600000,2022.0,0
10500000,2019.0,1
10500000,2015.0,1
10500000,2019.0,1
10500000,2019.0,1
10500000,2022.0,0
10500000,2021.0,0
10500000,2019.0,1
10500000,2019.0,1
10500000,2022.0,0
10500000,2022.0,0
10400000,2022.0,0
10400000,2022.0,0
10400000,2022.0,0
10400000,2022.0,0
10400000,2021.0,0
10400000,2018.0,1
10400000,2020.0,0
10400000,2021.0,0
10400000,2021.0,0
10400000,2020.0,0
10300000,2021.0,0
10300000,2022.0,0
10300000,2022.0,0
10300000,2019.0,1
10300000,2019.0,1
10300000,2022.0,0
10300000,2018.0,1
10300000,2022.0,0
10300000,2021.0,0
10300000,2022.0,0
10200000,2022.0,0
10200000,2019.0,1
10200000,2019.0,1
10200000,2019.0,1
10200000,2019.0,1
10200000,2018.0,1
10200000,2022.0,0
10200000,2020.0,0
10100000,2020.0,0
10100000,2020.0,0
10100000,2017.0,1
10100000,2017.0,1
10100000,2021.0,0
10100000,2017.0,1
10100000,2020.0,0
10100000,2019.0,1
10100000,2018.0,1
10000000,2019.0,1
10000000,2019.0,1
10000000,2021.0,0
10000000,2020.0,0
10000000,2019.0,1
10000000,2021.0,0
9900000,2020.0,0
9900000,2018.0,1
9900000,2023.0,0
9900000,2020.0,0
9900000,2019.0,1
9900000,2018.0,1
9900000,2017.0,1
9900000,2022.0,0
9900000,2019.0,1
9900000,2017.0,1
9900000,2022.0,0
9800000,2014.0,1
9800000,2019.0,1
9800000,2022.0,0
9800000,2021.0,0
9800000,2021.0,0
9800000,2019.0,1
9700000,2019.0,1
9700000,2022.0,0
9700000,2023.0,0
9700000,2021.0,0
9700000,2021.0,0
9700000,2023.0,0
9700000,2022.0,0
9700000,2020.0,0
9700000,2015.0,1
9700000,2018.0,1
9700000,2020.0,0
9600000,2022.0,0
9600000,2018.0,1
9600000,2023.0,0
9600000,2018.0,1
9600000,2013.0,1
9600000,2018.0,1
9600000,2019.0,1
9600000,2019.0,1
9600000,2020.0,0
9500000,2023.0,0
9500000,2022.0,0
9500000,2019.0,1
9500000,2022.0,0
9500000,2018.0,1
9500000,2019.0,1
9500000,2022.0,0
9500000,2022.0,0
9500000,2017.0,1
9500000,2018.0,1
9400000,2020.0,0
9400000,2020.0,0
9400000,2021.0,0
9400000,2016.0,1
9400000,2022.0,0
9400000,2021.0,0
9400000,2023.0,0
9400000,2018.0,1
9300000,2016.0,1
9300000,2020.0,0
9300000,2020.0,0
9300000,2023.0,0
9300000,2020.0,0
9300000,2018.0,1
9300000,2022.0,0
9300000,2022.0,0
9200000,2022.0,0
9200000,2021.0,0
9200000,2020.0,0
9200000,2016.0,1
9200000,2017.0,1
9200000,2014.0,1
9200000,2016.0,1
9200000,2022.0,0
9200000,2019.0,1
9200000,2022.0,0
9200000,2021.0,0
9200000,2022.0,0
9200000,2023.0,0
9200000,2021.0,0
9100000,2023.0,0
9100000,2021.0,0
9100000,2019.0,1
9100000,2022.0,0
9100000,2019.0,1
9100000,2020.0,0
9100000,2022.0,0
9100000,2019.0,1
9100000,2023.0,0
9100000,2022.0,0
9100000,2018.0,1
9100000,2018.0,1
9100000,2022.0,0
9000000,2018.0,1
9000000,2018.0,1
9000000,2018.0,1
9000000,2021.0,0
9000000,2021.0,0
9000000,2022.0,0
9000000,2023.0,0
8900000,2017.0,1
8900000,2021.0,0
8900000,2020.0,0
8900000,2021.0,0
8900000,2017.0,1
8900000,2020.0,0
8900000,2015.0,1
8900000,2019.0,1
8900000,2015.0,1
8900000,2018.0,1
8900000,2021.0,0
8800000,2019.0,1
8800000,2018.0,1
8800000,2017.0,1
8800000,2022.0,0
8800000,2015.0,1
8800000,2016.0,1
8800000,2018.0,1
8800000,2018.0,1
8800000,2022.0,0
8800000,2016.0,1
8700000,2017.0,1
8700000,2021.0,0
8700000,2018.0,1
8700000,2019.0,1
8700000,2022.0,0
8700000,2023.0,0
8700000,2019.0,1
8700000,2020.0,0
8700000,2019.0,1
8700000,2021.0,0
8600000,2022.0,0
8600000,2020.0,0
8600000,2017.0,1
8600000,2022.0,0
8600000,2022.0,0
8600000,2021.0,0
8600000,2022.0,0
8600000,2022.0,0
8600000,2021.0,0
8600000,2020.0,0
8600000,2021.0,0
8500000,2020.0,0
8500000,2022.0,0
8500000,2020.0,0
8500000,2022.0,0
8500000,2019.0,1
8500000,2021.0,0
8500000,2017.0,1
8500000,2022.0,0
8500000,2020.0,0
8500000,2020.0,0
8500000,2020.0,0
8500000,2020.0,0
8500000,2019.0,1
8400000,2022.0,0
8400000,2022.0,0
8400000,2022.0,0
8400000,2022.0,0
8400000,2023.0,0
8400000,2022.0,0
8400000,2020.0,0
8400000,2021.0,0
8400000,2022.0,0
8400000,2010.0,1
8400000,2018.0,1
8300000,2018.0,1
8300000,2023.0,0
8300000,2021.0,0
8300000,2019.0,1
8300000,2021.0,0
8300000,2016.0,1
8300000,2017.0,1
8300000,2018.0,1
8300000,2021.0,0
